"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Australia","AUS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61469597995109","1.65073476744091","1.33508888011889","1.33853036981171","1.28504433363226","1.54518621182161","1.23298493741969","1.31426126552652","1.13670571185859","1.30515627717522","1.42005628456361","1.1965945940321","1.23477802179585","0.971099279588603","0.922172506660398","0.929115802618756","0.901576833495693","0.81453100388461","0.945901770536124","0.700070736282924","0.850072258402795","0.801458369269094","0.726894455538099","0.809271217692322","0.796339886335189","0.708895783062545","0.656380096586331","0.508409865830636","0.667244707111149","0.532154204828188","0.572231020488964","0.375382837826072","","",
"Austria","AUT","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.996013398418599","1.16052092156133","1.04997924303029","0.847056755714391","1.27564248149044","0.925495960349045","1.22710765035218","0.905161483973642","0.82070292515403","0.769202039205885","1.29524372272807","1.00849776661044","0.905412083666583","0.559976459404157","0.759436383215548","0.571905992902992","0.686159405515992","0.568949052752658","0.678895446472664","0.657194515139949","0.769143366575477","0.813410111501096","0.879855398080734","0.668178054705581","0.503629336134123","0.385836399692466","0.697567166998592","0.82736836150094","0.979364348021573","0.886526492791487","0.817693020581223","0.882812880195781","","",
"Azerbaijan","AZE","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31612981837515","1.57302880614245","1.20145487899951","1.43197866106313","1.75812876898855","1.43827708787643","1.40316302590328","1.4885066234138","1.26357824168811","1.15793064284932","1.51710973312311","1.32088662504661","","",
"Burundi","BDI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.89471572574009","1.92765200740861","1.44247346472972","2.2382103633871","","","","","","","",
"Belgium","BEL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58874839131855","1.95183539447151","2.49712408067794","1.77349767051538","2.36841200181463","1.71688464278305","1.62508098004321","1.60667176430484","1.30409360278232","1.38265712120074","1.25264419942712","1.65427351543575","1.37553689587758","1.74796015342634","1.42586924102235","1.83677282163991","1.16581773675105","1.59242393925526","1.25740956576911","0.942961946342036","","0.187183877274082","","",
"Benin","BEN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17705754168714","2.07866190272112","2.26122026773997","2.06525337494837","2.24601608756054","1.78871695963554","1.91404078033655","2.19526100306203","2.34091472429854","2.08004854734714","2.31911834319556","1.48520530235377","1.37090019193409","1.26434239095225","1.40233916782579","1.28440586780821","1.34279907212584","0.951238274423731","0.906994172184529","0.887110387454333","0.688663075416259","0.77063421269119","0.957915162373092","0.887363667338323","0.684177577764018","0.76988435407831","0.589249859483997","0.945824266932146","1.0365127999784","0.633326609974756","0.723448769323212","0.789507668657166","","",
"Bahrain","BHR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.217559203298198","0.218212923442178","0.217620278728053","0.210788136843658","0","0","0.18774565345344","0.183608531921261","0","0.178323368029117","0","0.180304931700492","","",
