,
,
Most frequent crimes in El Salvador by type 2024,
Most common crimes in El Salvador from June 2023 to May 2024,
Theft,"6,990"
Rape,"3,018"
Crimes related to drugs,"1,454"
Robbery,"1,289"
Extortion,844
Human trafficking*,724
Vehicle theft,680
Deprivation of liberty,366
Intentional homicides,142
Femicides,25
Kidnapping,13
